neg,neu,pos,compound,entropy,class
0.152,0.631,0.217,0.818,4.210201335023955,1
0.15,0.666,0.184,0.8329,4.179293606644695,1
0.223,0.443,0.333,0.7351,4.096353934620852,1
0.181,0.646,0.173,-0.7712,4.174885546426147,1
0.137,0.533,0.33,0.9731,4.14634265577299,1
0.13,0.68,0.19,0.6887,4.203154768939204,1
0.194,0.647,0.159,-0.6869,4.1768247126237545,1
0.097,0.672,0.231,0.9891,4.216634550739581,1
0.068,0.703,0.23,0.9029,4.194806870994492,1
0.17,0.679,0.151,-0.688,4.218748881436396,1
0.122,0.645,0.233,0.9877,4.2183334428169665,1
0.083,0.685,0.232,0.9442,4.156735864132193,1
0.233,0.658,0.11,-0.9661,4.230717102647551,1
0.214,0.533,0.253,-0.2716,4.157702329977744,1
0.23,0.678,0.093,-0.9657,4.237831748070198,1
0.172,0.586,0.242,0.7107,4.200467129811391,1
0.155,0.636,0.209,0.8122,4.197282406584261,1
0.176,0.708,0.115,-0.987,4.216820489754086,1
0.108,0.63,0.262,0.964,4.1687666225071265,1
0.119,0.671,0.21,0.972,4.2354077173720635,1
0.253,0.524,0.222,-0.3612,4.162479656288385,1
0.149,0.628,0.223,0.8028,4.184883526649017,1
0.298,0.588,0.114,-0.9635,4.142215752376047,1
0.148,0.675,0.177,0.2665,4.148406359263912,1
0.179,0.64,0.181,-0.1719,4.176598393609468,1
0.287,0.592,0.121,-0.9413,4.151107796916954,1
0.091,0.704,0.205,0.9965,4.157388579107742,1
0.194,0.475,0.331,0.9081,4.195930024898467,1
0.164,0.65,0.186,0.365,4.107910610851314,1
0.266,0.608,0.127,-0.9573,4.159776123906974,1
0.073,0.758,0.169,0.7543,4.203709738728348,1
0.153,0.585,0.262,0.9678,4.189750850590248,1
0.226,0.504,0.27,0.9447,4.184215402827721,1
0.19,0.643,0.167,-0.7212,4.191303159245356,1
0.086,0.749,0.165,0.8481,4.22789322617959,1
0.221,0.576,0.203,-0.4226,4.168458386857941,1
0.154,0.631,0.215,0.9687,4.229223347718938,1
